,beams EUR/ton
12/03/2018,655.0
13/03/2018,655.0
14/03/2018,655.0
15/03/2018,655.0
16/03/2018,655.0
17/03/2018,655.0
18/03/2018,655.0
19/03/2018,655.0
20/03/2018,655.0
21/03/2018,655.0
22/03/2018,655.0
23/03/2018,655.0
24/03/2018,655.0
25/03/2018,655.0
26/03/2018,655.0
27/03/2018,655.0
28/03/2018,655.0
29/03/2018,655.0
30/03/2018,655.0
31/03/2018,655.0
01/04/2018,655.0
02/04/2018,655.0
03/04/2018,655.0
04/04/2018,655.0
05/04/2018,655.0
06/04/2018,655.0
07/04/2018,655.0
08/04/2018,655.0
09/04/2018,655.0
10/04/2018,655.0
11/04/2018,655.0
12/04/2018,655.0
13/04/2018,655.0
14/04/2018,655.0
15/04/2018,655.0
16/04/2018,655.0
17/04/2018,655.0
18/04/2018,655.0
19/04/2018,655.0
20/04/2018,655.0
21/04/2018,655.0
22/04/2018,655.0
23/04/2018,655.0
24/04/2018,655.0
25/04/2018,655.0
26/04/2018,655.0
27/04/2018,655.0
28/04/2018,655.0
29/04/2018,655.0
30/04/2018,655.0
31/04/2018,655.0
01/05/2018,650.0
02/05/2018,650.0
03/05/2018,650.0
04/05/2018,650.0
05/05/2018,650.0
06/05/2018,650.0
07/05/2018,650.0
08/05/2018,650.0
09/05/2018,650.0
10/05/2018,650.0
11/05/2018,650.0
12/05/2018,650.0
13/05/2018,650.0
14/05/2018,650.0
15/05/2018,650.0
16/05/2018,650.0
17/05/2018,650.0
18/05/2018,650.0
19/05/2018,650.0
20/05/2018,650.0
21/05/2018,650.0
22/05/2018,650.0
23/05/2018,650.0
24/05/2018,650.0
25/05/2018,650.0
26/05/2018,650.0
27/05/2018,650.0
28/05/2018,650.0
29/05/2018,650.0
30/05/2018,650.0
31/05/2018,650.0
01/06/2018,641.0
02/06/2018,641.0
03/06/2018,641.0
04/06/2018,641.0
05/06/2018,641.0
06/06/2018,641.0
07/06/2018,641.0
08/06/2018,641.0
09/06/2018,641.0
10/06/2018,641.0
11/06/2018,641.0
12/06/2018,641.0
13/06/2018,641.0
14/06/2018,641.0
15/06/2018,641.0
16/06/2018,641.0
17/06/2018,641.0
18/06/2018,641.0
19/06/2018,641.0
20/06/2018,641.0
21/06/2018,641.0
22/06/2018,641.0
23/06/2018,641.0
24/06/2018,641.0
25/06/2018,641.0
26/06/2018,641.0
27/06/2018,641.0
28/06/2018,641.0
29/06/2018,641.0
30/06/2018,641.0
31/06/2018,641.0
01/07/2018,640.0
02/07/2018,640.0
03/07/2018,640.0
04/07/2018,640.0
05/07/2018,640.0
06/07/2018,640.0
07/07/2018,640.0
08/07/2018,640.0
09/07/2018,640.0
10/07/2018,640.0
11/07/2018,640.0
12/07/2018,640.0
13/07/2018,640.0
14/07/2018,640.0
15/07/2018,640.0
16/07/2018,640.0
17/07/2018,640.0
18/07/2018,640.0
19/07/2018,640.0
20/07/2018,640.0
21/07/2018,640.0
22/07/2018,640.0
23/07/2018,640.0
24/07/2018,640.0
25/07/2018,640.0
26/07/2018,640.0
27/07/2018,640.0
28/07/2018,640.0
29/07/2018,640.0
30/07/2018,640.0
31/07/2018,640.0
01/08/2018,639.0
02/08/2018,639.0
03/08/2018,639.0
04/08/2018,639.0
05/08/2018,639.0
06/08/2018,639.0
07/08/2018,639.0
08/08/2018,639.0
09/08/2018,639.0
10/08/2018,639.0
11/08/2018,639.0
12/08/2018,639.0
13/08/2018,639.0
14/08/2018,639.0
15/08/2018,639.0
16/08/2018,639.0
17/08/2018,639.0
18/08/2018,639.0
19/08/2018,639.0
20/08/2018,639.0
21/08/2018,639.0
22/08/2018,639.0
23/08/2018,639.0
24/08/2018,639.0
25/08/2018,639.0
26/08/2018,639.0
27/08/2018,639.0
28/08/2018,639.0
29/08/2018,639.0
30/08/2018,639.0
31/08/2018,639.0
01/09/2018,652.0
02/09/2018,652.0
03/09/2018,652.0
04/09/2018,652.0
05/09/2018,652.0
06/09/2018,652.0
07/09/2018,652.0
08/09/2018,652.0
09/09/2018,652.0
10/09/2018,652.0
11/09/2018,652.0
12/09/2018,652.0
13/09/2018,652.0
14/09/2018,652.0
15/09/2018,652.0
16/09/2018,652.0
17/09/2018,652.0
18/09/2018,652.0
19/09/2018,652.0
20/09/2018,652.0
21/09/2018,652.0
22/09/2018,652.0
23/09/2018,652.0
24/09/2018,652.0
25/09/2018,652.0
26/09/2018,652.0
27/09/2018,652.0
28/09/2018,652.0
29/09/2018,652.0
30/09/2018,652.0
31/09/2018,652.0
01/10/2018,659.0
02/10/2018,659.0
03/10/2018,659.0
04/10/2018,659.0
05/10/2018,659.0
06/10/2018,659.0
07/10/2018,659.0
08/10/2018,659.0
09/10/2018,659.0
10/10/2018,659.0
11/10/2018,659.0
12/10/2018,659.0
13/10/2018,659.0
14/10/2018,659.0
15/10/2018,659.0
16/10/2018,659.0
17/10/2018,659.0
18/10/2018,659.0
19/10/2018,659.0
20/10/2018,659.0
21/10/2018,659.0
22/10/2018,659.0
23/10/2018,659.0
24/10/2018,659.0
25/10/2018,659.0
26/10/2018,659.0
27/10/2018,659.0
28/10/2018,659.0
29/10/2018,659.0
30/10/2018,659.0
31/10/2018,659.0
01/11/2018,657.0
02/11/2018,657.0
03/11/2018,657.0
04/11/2018,657.0
05/11/2018,657.0
06/11/2018,657.0
07/11/2018,657.0
08/11/2018,657.0
09/11/2018,657.0
10/11/2018,657.0
11/11/2018,657.0
12/11/2018,657.0
13/11/2018,657.0
14/11/2018,657.0
15/11/2018,657.0
16/11/2018,657.0
17/11/2018,657.0
18/11/2018,657.0
19/11/2018,657.0
20/11/2018,657.0
21/11/2018,657.0
22/11/2018,657.0
23/11/2018,657.0
24/11/2018,657.0
25/11/2018,657.0
26/11/2018,657.0
27/11/2018,657.0
28/11/2018,657.0
29/11/2018,657.0
30/11/2018,657.0
31/11/2018,657.0
01/12/2018,653.0
02/12/2018,653.0
03/12/2018,653.0
04/12/2018,653.0
05/12/2018,653.0
06/12/2018,653.0
07/12/2018,653.0
08/12/2018,653.0
09/12/2018,653.0
10/12/2018,653.0
11/12/2018,653.0
12/12/2018,653.0
13/12/2018,653.0
14/12/2018,653.0
15/12/2018,653.0
16/12/2018,653.0
17/12/2018,653.0
18/12/2018,653.0
19/12/2018,653.0
20/12/2018,653.0
21/12/2018,653.0
22/12/2018,653.0
23/12/2018,653.0
24/12/2018,653.0
25/12/2018,653.0
26/12/2018,653.0
27/12/2018,653.0
28/12/2018,653.0
29/12/2018,653.0
30/12/2018,653.0
31/12/2018,653.0
01/01/2019,647.0
02/01/2019,647.0
03/01/2019,647.0
04/01/2019,647.0
05/01/2019,647.0
06/01/2019,647.0
07/01/2019,647.0
08/01/2019,647.0
09/01/2019,647.0
10/01/2019,647.0
11/01/2019,647.0
12/01/2019,647.0
13/01/2019,647.0
14/01/2019,647.0
15/01/2019,647.0
16/01/2019,647.0
17/01/2019,647.0
18/01/2019,647.0
19/01/2019,647.0
20/01/2019,647.0
21/01/2019,647.0
22/01/2019,647.0
23/01/2019,647.0
24/01/2019,647.0
25/01/2019,647.0
26/01/2019,647.0
27/01/2019,647.0
28/01/2019,647.0
29/01/2019,647.0
30/01/2019,647.0
31/01/2019,647.0
01/02/2019,641.0
02/02/2019,641.0
03/02/2019,641.0
04/02/2019,641.0
05/02/2019,641.0
06/02/2019,641.0
07/02/2019,641.0
08/02/2019,641.0
09/02/2019,641.0
10/02/2019,641.0
11/02/2019,641.0
12/02/2019,641.0
13/02/2019,641.0
14/02/2019,641.0
15/02/2019,641.0
16/02/2019,641.0
17/02/2019,641.0
18/02/2019,641.0
19/02/2019,641.0
20/02/2019,641.0
21/02/2019,641.0
22/02/2019,641.0
23/02/2019,641.0
24/02/2019,641.0
25/02/2019,641.0
26/02/2019,641.0
27/02/2019,641.0
28/02/2019,641.0
29/02/2019,641.0
30/02/2019,641.0
31/02/2019,641.0
01/03/2019,646.0
02/03/2019,646.0
03/03/2019,646.0
04/03/2019,646.0
05/03/2019,646.0
06/03/2019,646.0
07/03/2019,646.0
08/03/2019,646.0
09/03/2019,646.0
10/03/2019,646.0
11/03/2019,646.0
12/03/2019,646.0
13/03/2019,646.0
14/03/2019,646.0
15/03/2019,646.0
16/03/2019,646.0
17/03/2019,646.0
18/03/2019,646.0
19/03/2019,646.0
20/03/2019,646.0
21/03/2019,646.0
22/03/2019,646.0
23/03/2019,646.0
24/03/2019,646.0
25/03/2019,646.0
26/03/2019,646.0
27/03/2019,646.0
28/03/2019,646.0
29/03/2019,646.0
30/03/2019,646.0
31/03/2019,646.0
01/04/2019,644.0
02/04/2019,644.0
03/04/2019,644.0
04/04/2019,644.0
05/04/2019,644.0
06/04/2019,644.0
07/04/2019,644.0
08/04/2019,644.0
09/04/2019,644.0
10/04/2019,644.0
11/04/2019,644.0
12/04/2019,644.0
13/04/2019,644.0
14/04/2019,644.0
15/04/2019,644.0
16/04/2019,644.0
17/04/2019,644.0
18/04/2019,644.0
19/04/2019,644.0
20/04/2019,644.0
21/04/2019,644.0
22/04/2019,644.0
23/04/2019,644.0
24/04/2019,644.0
25/04/2019,644.0
26/04/2019,644.0
27/04/2019,644.0
28/04/2019,644.0
29/04/2019,644.0
30/04/2019,644.0
31/04/2019,644.0
01/05/2019,631.0
02/05/2019,631.0
03/05/2019,631.0
04/05/2019,631.0
05/05/2019,631.0
06/05/2019,631.0
07/05/2019,631.0
08/05/2019,631.0
09/05/2019,631.0
10/05/2019,631.0
11/05/2019,631.0
12/05/2019,631.0
13/05/2019,631.0
14/05/2019,631.0
15/05/2019,631.0
16/05/2019,631.0
17/05/2019,631.0
18/05/2019,631.0
19/05/2019,631.0
20/05/2019,631.0
21/05/2019,631.0
22/05/2019,631.0
23/05/2019,631.0
24/05/2019,631.0
25/05/2019,631.0
26/05/2019,631.0
27/05/2019,631.0
28/05/2019,631.0
29/05/2019,631.0
30/05/2019,631.0
31/05/2019,631.0
01/06/2019,614.0
02/06/2019,614.0
03/06/2019,614.0
04/06/2019,614.0
05/06/2019,614.0
06/06/2019,614.0
07/06/2019,614.0
08/06/2019,614.0
09/06/2019,614.0
10/06/2019,614.0
11/06/2019,614.0
12/06/2019,614.0
13/06/2019,614.0
14/06/2019,614.0
15/06/2019,614.0
16/06/2019,614.0
17/06/2019,614.0
18/06/2019,614.0
19/06/2019,614.0
20/06/2019,614.0
21/06/2019,614.0
22/06/2019,614.0
23/06/2019,614.0
24/06/2019,614.0
25/06/2019,614.0
26/06/2019,614.0
27/06/2019,614.0
28/06/2019,614.0
29/06/2019,614.0
30/06/2019,614.0
31/06/2019,614.0
01/07/2019,605.0
02/07/2019,605.0
03/07/2019,605.0
04/07/2019,605.0
05/07/2019,605.0
06/07/2019,605.0
07/07/2019,605.0
08/07/2019,605.0
09/07/2019,605.0
10/07/2019,605.0
11/07/2019,605.0
12/07/2019,605.0
13/07/2019,605.0
14/07/2019,605.0
15/07/2019,605.0
16/07/2019,605.0
17/07/2019,605.0
18/07/2019,605.0
19/07/2019,605.0
20/07/2019,605.0
21/07/2019,605.0
22/07/2019,605.0
23/07/2019,605.0
24/07/2019,605.0
25/07/2019,605.0
26/07/2019,605.0
27/07/2019,605.0
28/07/2019,605.0
29/07/2019,605.0
30/07/2019,605.0
31/07/2019,605.0
01/08/2019,594.0
02/08/2019,594.0
03/08/2019,594.0
04/08/2019,594.0
05/08/2019,594.0
06/08/2019,594.0
07/08/2019,594.0
08/08/2019,594.0
09/08/2019,594.0
10/08/2019,594.0
11/08/2019,594.0
12/08/2019,594.0
13/08/2019,594.0
14/08/2019,594.0
15/08/2019,594.0
16/08/2019,594.0
17/08/2019,594.0
18/08/2019,594.0
19/08/2019,594.0
20/08/2019,594.0
21/08/2019,594.0
22/08/2019,594.0
23/08/2019,594.0
24/08/2019,594.0
25/08/2019,594.0
26/08/2019,594.0
27/08/2019,594.0
28/08/2019,594.0
29/08/2019,594.0
30/08/2019,594.0
31/08/2019,594.0
01/09/2019,588.0
02/09/2019,588.0
03/09/2019,588.0
04/09/2019,588.0
05/09/2019,588.0
06/09/2019,588.0
07/09/2019,588.0
08/09/2019,588.0
09/09/2019,588.0
10/09/2019,588.0
11/09/2019,588.0
12/09/2019,588.0
13/09/2019,588.0
14/09/2019,588.0
15/09/2019,588.0
16/09/2019,588.0
17/09/2019,588.0
18/09/2019,588.0
19/09/2019,588.0
20/09/2019,588.0
21/09/2019,588.0
22/09/2019,588.0
23/09/2019,588.0
24/09/2019,588.0
25/09/2019,588.0
26/09/2019,588.0
27/09/2019,588.0
28/09/2019,588.0
29/09/2019,588.0
30/09/2019,588.0
31/09/2019,588.0
01/10/2019,571.0
02/10/2019,571.0
03/10/2019,571.0
04/10/2019,571.0
05/10/2019,571.0
06/10/2019,571.0
07/10/2019,571.0
08/10/2019,571.0
09/10/2019,571.0
10/10/2019,571.0
11/10/2019,571.0
12/10/2019,571.0
13/10/2019,571.0
14/10/2019,571.0
15/10/2019,571.0
16/10/2019,571.0
17/10/2019,571.0
18/10/2019,571.0
19/10/2019,571.0
20/10/2019,571.0
21/10/2019,571.0
22/10/2019,571.0
23/10/2019,571.0
24/10/2019,571.0
25/10/2019,571.0
26/10/2019,571.0
27/10/2019,571.0
28/10/2019,571.0
29/10/2019,571.0
30/10/2019,571.0
31/10/2019,571.0
01/11/2019,563.0
02/11/2019,563.0
03/11/2019,563.0
04/11/2019,563.0
05/11/2019,563.0
06/11/2019,563.0
07/11/2019,563.0
08/11/2019,563.0
09/11/2019,563.0
10/11/2019,563.0
11/11/2019,563.0
12/11/2019,563.0
13/11/2019,563.0
14/11/2019,563.0
15/11/2019,563.0
16/11/2019,563.0
17/11/2019,563.0
18/11/2019,563.0
19/11/2019,563.0
20/11/2019,563.0
21/11/2019,563.0
22/11/2019,563.0
23/11/2019,563.0
24/11/2019,563.0
25/11/2019,563.0
26/11/2019,563.0
27/11/2019,563.0
28/11/2019,563.0
29/11/2019,563.0
30/11/2019,563.0
31/11/2019,563.0
01/12/2019,565.0
02/12/2019,565.0
03/12/2019,565.0
04/12/2019,565.0
05/12/2019,565.0
06/12/2019,565.0
07/12/2019,565.0
08/12/2019,565.0
09/12/2019,565.0
10/12/2019,565.0
11/12/2019,565.0
12/12/2019,565.0
13/12/2019,565.0
14/12/2019,565.0
15/12/2019,565.0
16/12/2019,565.0
17/12/2019,565.0
18/12/2019,565.0
19/12/2019,565.0
20/12/2019,565.0
21/12/2019,565.0
22/12/2019,565.0
23/12/2019,565.0
24/12/2019,565.0
25/12/2019,565.0
26/12/2019,565.0
27/12/2019,565.0
28/12/2019,565.0
29/12/2019,565.0
30/12/2019,565.0
31/12/2019,565.0
01/01/2020,570.0
02/01/2020,570.0
03/01/2020,570.0
04/01/2020,570.0
05/01/2020,570.0
06/01/2020,570.0
07/01/2020,570.0
08/01/2020,570.0
09/01/2020,570.0
10/01/2020,570.0
11/01/2020,570.0
12/01/2020,570.0
13/01/2020,570.0
14/01/2020,570.0
15/01/2020,570.0
16/01/2020,570.0
17/01/2020,570.0
18/01/2020,570.0
19/01/2020,570.0
20/01/2020,570.0
21/01/2020,570.0
22/01/2020,570.0
23/01/2020,570.0
24/01/2020,570.0
25/01/2020,570.0
26/01/2020,570.0
27/01/2020,570.0
28/01/2020,570.0
29/01/2020,570.0
30/01/2020,570.0
31/01/2020,570.0
01/02/2020,571.0
02/02/2020,571.0
03/02/2020,571.0
04/02/2020,571.0
05/02/2020,571.0
06/02/2020,571.0
07/02/2020,571.0
08/02/2020,571.0
09/02/2020,571.0
10/02/2020,571.0
11/02/2020,571.0
12/02/2020,571.0
13/02/2020,571.0
14/02/2020,571.0
15/02/2020,571.0
16/02/2020,571.0
17/02/2020,571.0
18/02/2020,571.0
19/02/2020,571.0
20/02/2020,571.0
21/02/2020,571.0
22/02/2020,571.0
23/02/2020,571.0
24/02/2020,571.0
25/02/2020,571.0
26/02/2020,571.0
27/02/2020,571.0
28/02/2020,571.0
29/02/2020,571.0
30/02/2020,571.0
31/02/2020,571.0
01/03/2020,558.0
02/03/2020,558.0
03/03/2020,558.0
04/03/2020,558.0
05/03/2020,558.0
06/03/2020,558.0
07/03/2020,558.0
08/03/2020,558.0
09/03/2020,558.0
10/03/2020,558.0
11/03/2020,558.0
12/03/2020,558.0
13/03/2020,558.0
14/03/2020,558.0
15/03/2020,558.0
16/03/2020,558.0
17/03/2020,558.0
18/03/2020,558.0
19/03/2020,558.0
20/03/2020,558.0
21/03/2020,558.0
22/03/2020,558.0
23/03/2020,558.0
24/03/2020,558.0
25/03/2020,558.0
26/03/2020,558.0
27/03/2020,558.0
28/03/2020,558.0
29/03/2020,558.0
30/03/2020,558.0
31/03/2020,558.0
01/04/2020,559.0
02/04/2020,559.0
03/04/2020,559.0
04/04/2020,559.0
05/04/2020,559.0
06/04/2020,559.0
07/04/2020,559.0
08/04/2020,559.0
09/04/2020,559.0
10/04/2020,559.0
11/04/2020,559.0
12/04/2020,559.0
13/04/2020,559.0
14/04/2020,559.0
15/04/2020,559.0
16/04/2020,559.0
17/04/2020,559.0
18/04/2020,559.0
19/04/2020,559.0
20/04/2020,559.0
21/04/2020,559.0
22/04/2020,559.0
23/04/2020,559.0
24/04/2020,559.0
25/04/2020,559.0
26/04/2020,559.0
27/04/2020,559.0
28/04/2020,559.0
29/04/2020,559.0
30/04/2020,559.0
31/04/2020,559.0
01/05/2020,551.0
02/05/2020,551.0
03/05/2020,551.0
04/05/2020,551.0
05/05/2020,551.0
06/05/2020,551.0
07/05/2020,551.0
08/05/2020,551.0
09/05/2020,551.0
10/05/2020,551.0
11/05/2020,551.0
12/05/2020,551.0
13/05/2020,551.0
14/05/2020,551.0
15/05/2020,551.0
16/05/2020,551.0
17/05/2020,551.0
18/05/2020,551.0
19/05/2020,551.0
20/05/2020,551.0
21/05/2020,551.0
22/05/2020,551.0
23/05/2020,551.0
24/05/2020,551.0
25/05/2020,551.0
26/05/2020,551.0
27/05/2020,551.0
28/05/2020,551.0
29/05/2020,551.0
30/05/2020,551.0
31/05/2020,551.0
01/06/2020,529.0
02/06/2020,529.0
03/06/2020,529.0
04/06/2020,529.0
05/06/2020,529.0
06/06/2020,529.0
07/06/2020,529.0
08/06/2020,529.0
09/06/2020,529.0
10/06/2020,529.0
11/06/2020,529.0
12/06/2020,529.0
13/06/2020,529.0
14/06/2020,529.0
15/06/2020,529.0
16/06/2020,529.0
17/06/2020,529.0
18/06/2020,529.0
19/06/2020,529.0
20/06/2020,529.0
21/06/2020,529.0
22/06/2020,529.0
23/06/2020,529.0
24/06/2020,529.0
25/06/2020,529.0
26/06/2020,529.0
27/06/2020,529.0
28/06/2020,529.0
29/06/2020,529.0
30/06/2020,529.0
31/06/2020,529.0
01/07/2020,520.0
02/07/2020,520.0
03/07/2020,520.0
04/07/2020,520.0
05/07/2020,520.0
06/07/2020,520.0
07/07/2020,520.0
08/07/2020,520.0
09/07/2020,520.0
10/07/2020,520.0
11/07/2020,520.0
12/07/2020,520.0
13/07/2020,520.0
14/07/2020,520.0
15/07/2020,520.0
16/07/2020,520.0
17/07/2020,520.0
18/07/2020,520.0
19/07/2020,520.0
20/07/2020,520.0
21/07/2020,520.0
22/07/2020,520.0
23/07/2020,520.0
24/07/2020,520.0
25/07/2020,520.0
26/07/2020,520.0
27/07/2020,520.0
28/07/2020,520.0
29/07/2020,520.0
30/07/2020,520.0
31/07/2020,520.0
01/08/2020,524.0
02/08/2020,524.0
03/08/2020,524.0
04/08/2020,524.0
05/08/2020,524.0
06/08/2020,524.0
07/08/2020,524.0
08/08/2020,524.0
09/08/2020,524.0
10/08/2020,524.0
11/08/2020,524.0
12/08/2020,524.0
13/08/2020,524.0
14/08/2020,524.0
15/08/2020,524.0
16/08/2020,524.0
17/08/2020,524.0
18/08/2020,524.0
19/08/2020,524.0
20/08/2020,524.0
21/08/2020,524.0
22/08/2020,524.0
23/08/2020,524.0
24/08/2020,524.0
25/08/2020,524.0
26/08/2020,524.0
27/08/2020,524.0
28/08/2020,524.0
29/08/2020,524.0
30/08/2020,524.0
31/08/2020,524.0
01/09/2020,535.0
02/09/2020,535.0
03/09/2020,535.0
04/09/2020,535.0
05/09/2020,535.0
06/09/2020,535.0
07/09/2020,535.0
08/09/2020,535.0
09/09/2020,535.0
10/09/2020,535.0
11/09/2020,535.0
12/09/2020,535.0
13/09/2020,535.0
14/09/2020,535.0
15/09/2020,535.0
16/09/2020,535.0
17/09/2020,535.0
18/09/2020,535.0
19/09/2020,535.0
20/09/2020,535.0
21/09/2020,535.0
22/09/2020,535.0
23/09/2020,535.0
24/09/2020,535.0
25/09/2020,535.0
26/09/2020,535.0
27/09/2020,535.0
28/09/2020,535.0
29/09/2020,535.0
30/09/2020,535.0
31/09/2020,535.0
01/10/2020,540.0
02/10/2020,540.0
03/10/2020,540.0
04/10/2020,540.0
05/10/2020,540.0
06/10/2020,540.0
07/10/2020,540.0
08/10/2020,540.0
09/10/2020,540.0
10/10/2020,540.0
11/10/2020,540.0
12/10/2020,540.0
13/10/2020,540.0
14/10/2020,540.0
15/10/2020,540.0
16/10/2020,540.0
17/10/2020,540.0
18/10/2020,540.0
19/10/2020,540.0
20/10/2020,540.0
21/10/2020,540.0
22/10/2020,540.0
23/10/2020,540.0
24/10/2020,540.0
25/10/2020,540.0
26/10/2020,540.0
27/10/2020,540.0
28/10/2020,540.0
29/10/2020,540.0
