,beams EUR/ton
01/06/2017,551.0
02/06/2017,551.0
03/06/2017,551.0
04/06/2017,551.0
05/06/2017,551.0
06/06/2017,551.0
07/06/2017,551.0
08/06/2017,551.0
09/06/2017,551.0
10/06/2017,551.0
11/06/2017,551.0
12/06/2017,551.0
13/06/2017,551.0
14/06/2017,551.0
15/06/2017,551.0
16/06/2017,551.0
17/06/2017,551.0
18/06/2017,551.0
19/06/2017,551.0
20/06/2017,551.0
21/06/2017,551.0
22/06/2017,551.0
23/06/2017,551.0
24/06/2017,551.0
25/06/2017,551.0
26/06/2017,551.0
27/06/2017,551.0
28/06/2017,551.0
29/06/2017,551.0
30/06/2017,551.0
31/06/2017,551.0
01/07/2017,555.0
02/07/2017,555.0
03/07/2017,555.0
04/07/2017,555.0
05/07/2017,555.0
06/07/2017,555.0
07/07/2017,555.0
08/07/2017,555.0
09/07/2017,555.0
10/07/2017,555.0
11/07/2017,555.0
12/07/2017,555.0
13/07/2017,555.0
14/07/2017,555.0
15/07/2017,555.0
16/07/2017,555.0
17/07/2017,555.0
18/07/2017,555.0
19/07/2017,555.0
20/07/2017,555.0
21/07/2017,555.0
22/07/2017,555.0
23/07/2017,555.0
24/07/2017,555.0
25/07/2017,555.0
26/07/2017,555.0
27/07/2017,555.0
28/07/2017,555.0
29/07/2017,555.0
30/07/2017,555.0
31/07/2017,555.0
01/08/2017,553.0
02/08/2017,553.0
03/08/2017,553.0
04/08/2017,553.0
05/08/2017,553.0
06/08/2017,553.0
07/08/2017,553.0
08/08/2017,553.0
09/08/2017,553.0
10/08/2017,553.0
11/08/2017,553.0
12/08/2017,553.0
13/08/2017,553.0
14/08/2017,553.0
15/08/2017,553.0
16/08/2017,553.0
17/08/2017,553.0
18/08/2017,553.0
19/08/2017,553.0
20/08/2017,553.0
21/08/2017,553.0
22/08/2017,553.0
23/08/2017,553.0
24/08/2017,553.0
25/08/2017,553.0
26/08/2017,553.0
27/08/2017,553.0
28/08/2017,553.0
29/08/2017,553.0
30/08/2017,553.0
31/08/2017,553.0
01/09/2017,597.0
02/09/2017,597.0
03/09/2017,597.0
04/09/2017,597.0
05/09/2017,597.0
06/09/2017,597.0
07/09/2017,597.0
08/09/2017,597.0
09/09/2017,597.0
10/09/2017,597.0
11/09/2017,597.0
12/09/2017,597.0
13/09/2017,597.0
14/09/2017,597.0
15/09/2017,597.0
16/09/2017,597.0
17/09/2017,597.0
18/09/2017,597.0
19/09/2017,597.0
20/09/2017,597.0
21/09/2017,597.0
22/09/2017,597.0
23/09/2017,597.0
24/09/2017,597.0
25/09/2017,597.0
26/09/2017,597.0
27/09/2017,597.0
28/09/2017,597.0
29/09/2017,597.0
30/09/2017,597.0
31/09/2017,597.0
01/10/2017,623.0
02/10/2017,623.0
03/10/2017,623.0
04/10/2017,623.0
05/10/2017,623.0
06/10/2017,623.0
07/10/2017,623.0
08/10/2017,623.0
09/10/2017,623.0
10/10/2017,623.0
11/10/2017,623.0
12/10/2017,623.0
13/10/2017,623.0
14/10/2017,623.0
15/10/2017,623.0
16/10/2017,623.0
17/10/2017,623.0
18/10/2017,623.0
19/10/2017,623.0
20/10/2017,623.0
21/10/2017,623.0
22/10/2017,623.0
23/10/2017,623.0
24/10/2017,623.0
25/10/2017,623.0
26/10/2017,623.0
27/10/2017,623.0
28/10/2017,623.0
29/10/2017,623.0
30/10/2017,623.0
31/10/2017,623.0
01/11/2017,623.0
02/11/2017,623.0
03/11/2017,623.0
04/11/2017,623.0
05/11/2017,623.0
06/11/2017,623.0
07/11/2017,623.0
08/11/2017,623.0
09/11/2017,623.0
10/11/2017,623.0
11/11/2017,623.0
12/11/2017,623.0
13/11/2017,623.0
14/11/2017,623.0
15/11/2017,623.0
16/11/2017,623.0
17/11/2017,623.0
18/11/2017,623.0
19/11/2017,623.0
20/11/2017,623.0
21/11/2017,623.0
22/11/2017,623.0
23/11/2017,623.0
24/11/2017,623.0
25/11/2017,623.0
26/11/2017,623.0
27/11/2017,623.0
28/11/2017,623.0
29/11/2017,623.0
30/11/2017,623.0
31/11/2017,623.0
01/12/2017,635.0
02/12/2017,635.0
03/12/2017,635.0
04/12/2017,635.0
05/12/2017,635.0
06/12/2017,635.0
07/12/2017,635.0
08/12/2017,635.0
09/12/2017,635.0
10/12/2017,635.0
11/12/2017,635.0
12/12/2017,635.0
13/12/2017,635.0
14/12/2017,635.0
15/12/2017,635.0
16/12/2017,635.0
17/12/2017,635.0
18/12/2017,635.0
19/12/2017,635.0
20/12/2017,635.0
21/12/2017,635.0
22/12/2017,635.0
23/12/2017,635.0
24/12/2017,635.0
25/12/2017,635.0
26/12/2017,635.0
27/12/2017,635.0
28/12/2017,635.0
29/12/2017,635.0
30/12/2017,635.0
31/12/2017,635.0
01/01/2018,658.0
02/01/2018,658.0
03/01/2018,658.0
04/01/2018,658.0
05/01/2018,658.0
06/01/2018,658.0
07/01/2018,658.0
08/01/2018,658.0
09/01/2018,658.0
10/01/2018,658.0
11/01/2018,658.0
12/01/2018,658.0
13/01/2018,658.0
14/01/2018,658.0
15/01/2018,658.0
16/01/2018,658.0
17/01/2018,658.0
18/01/2018,658.0
19/01/2018,658.0
20/01/2018,658.0
21/01/2018,658.0
22/01/2018,658.0
23/01/2018,658.0
24/01/2018,658.0
25/01/2018,658.0
26/01/2018,658.0
27/01/2018,658.0
28/01/2018,658.0
29/01/2018,658.0
30/01/2018,658.0
31/01/2018,658.0
01/02/2018,663.0
02/02/2018,663.0
03/02/2018,663.0
04/02/2018,663.0
05/02/2018,663.0
