,variable,Year/Month,value
140,USD/EUROS,19/10,0.91
141,USD/EUROS,19/11,0.91
142,USD/EUROS,19/12,0.9
143,USD/EUROS,20/01,
144,USD/EUROS,20/02,0.92
145,USD/EUROS,20/03,0.91
146,USD/EUROS,20/04,0.92
147,USD/EUROS,20/05,0.92
148,USD/EUROS,20/06,0.89
149,USD/EUROS,20/07,0.88
150,USD/EUROS,20/10,0.85
151,USD/EUROS,20/11,0.85
152,USD/EUROS,20/12,0.82
153,USD/EUROS,21/01,0.82
154,USD/EUROS,21/02,0.83
155,USD/EUROS,21/03,0.84
156,USD/EUROS,21/04,0.83
157,USD/EUROS,21/05,0.82
158,USD/EUROS,21/07,0.85
159,USD/EUROS,21/08,0.85
160,USD/EUROS,21/09,0.85
161,USD/EUROS,21/10,0.86
162,USD/EUROS,21/11,0.87
163,USD/EUROS,21/12,0.88
164,USD/EUROS,22/01,0.88
165,USD/EUROS,22/02,0.88
166,USD/EUROS,22/03,0.9
167,USD/EUROS,22/04,0.93
168,USD/EUROS,22/05,0.94
169,USD/EUROS,22/06,0.95
170,aluminium (EUR),15/03,1645.95
171,aluminium (EUR),15/04,1668.98
172,aluminium (EUR),15/05,1590.04
173,aluminium (EUR),15/06,1582.51
174,aluminium (EUR),15/07,1578.93
175,aluminium (EUR),15/08,1520.51
176,aluminium (EUR),15/09,1514.5
177,aluminium (EUR),15/10,1495.34
178,aluminium (EUR),15/11,1483.73
179,aluminium (EUR),15/12,1473.13
180,aluminium (EUR),16/01,1516.07
181,aluminium (EUR),16/02,1478.72
182,aluminium (EUR),16/03,1469.39
183,aluminium (EUR),16/04,1440.62
184,aluminium (EUR),16/05,1449.9
185,aluminium (EUR),16/06,1426.24
186,aluminium (EUR),16/07,1443.58
187,aluminium (EUR),16/08,1448.42
188,aluminium (EUR),16/09,1447.38
189,aluminium (EUR),16/10,1459.71
190,aluminium (EUR),16/11,1488.45
191,aluminium (EUR),16/12,1514.38
192,aluminium (EUR),17/01,1524.32
193,aluminium (EUR),17/02,1564.53
194,aluminium (EUR),17/03,1616.14
195,aluminium (EUR),17/04,1599.03
196,aluminium (EUR),17/05,1522.28
197,aluminium (EUR),17/06,1455.45
198,aluminium (EUR),17/07,1434.21
199,aluminium (EUR),17/08,1482.69
200,aluminium (EUR),17/09,1505.9
201,aluminium (EUR),17/10,1572.08
202,aluminium (EUR),17/11,1592.72
203,aluminium (EUR),17/12,1546.2
204,aluminium (EUR),18/01,1514.35
205,aluminium (EUR),18/02,1498.58
206,aluminium (EUR),18/03,1498.38
207,aluminium (EUR),18/04,1546.67
208,aluminium (EUR),18/05,1605.92
209,aluminium (EUR),18/06,1537.7
210,aluminium (EUR),18/07,1514.24
211,aluminium (EUR),18/08,1443.12
