,aluminium (USD)
11/01/2017,1622.0
10/01/2017,1632.0
09/01/2017,1592.0
06/01/2017,1587.5
05/01/2017,1587.5
04/01/2017,1587.5
03/01/2017,1587.5
30/12/2016,1593.0
29/12/2016,1593.0
28/12/2016,1593.5
23/12/2016,1594.0
21/12/2016,1594.0
20/12/2016,1594.0
19/12/2016,1594.0
16/12/2016,1604.5
15/12/2016,1604.5
14/12/2016,1604.5
13/12/2016,1604.5
09/12/2016,1605.0
08/12/2016,1600.0
07/12/2016,1565.0
06/12/2016,1595.0
05/12/2016,1595.0
02/12/2016,1605.0
01/12/2016,1605.0
30/11/2016,1605.0
29/11/2016,1610.0
28/11/2016,1610.0
25/11/2016,1600.5
24/11/2016,1615.5
23/11/2016,1625.5
22/11/2016,1610.5
21/11/2016,1585.5
18/11/2016,1596.0
17/11/2016,1576.0
15/11/2016,1591.5
14/11/2016,1606.5
11/11/2016,1627.5
10/11/2016,1607.5
09/11/2016,1607.5
08/11/2016,1612.5
07/11/2016,1607.5
04/11/2016,1608.5
03/11/2016,1608.5
02/11/2016,1608.5
01/11/2016,1613.5
31/10/2016,1618.5
28/10/2016,1619.5
27/10/2016,1599.5
26/10/2016,1581.0
25/10/2016,1596.0
24/10/2016,1591.0
21/10/2016,1591.5
20/10/2016,1586.5
19/10/2016,1596.5
18/10/2016,1601.5
17/10/2016,1581.75
14/10/2016,1622.5
13/10/2016,1622.5
11/10/2016,1622.5
10/10/2016,1622.5
07/10/2016,1623.0
06/10/2016,1623.0
05/10/2016,1623.0
04/10/2016,1623.0
03/10/2016,1623.0
30/09/2016,1623.5
29/09/2016,1623.5
28/09/2016,1619.0
27/09/2016,1619.0
26/09/2016,1619.0
23/09/2016,1619.5
22/09/2016,1619.75
21/09/2016,1610.0
20/09/2016,1615.0
19/09/2016,1620.25
16/09/2016,1620.5
15/09/2016,1620.75
14/09/2016,1621.0
13/09/2016,1621.25
12/09/2016,1621.5
09/09/2016,1622.0
08/09/2016,1627.25
06/09/2016,1627.5
05/09/2016,1627.5
02/09/2016,1638.0
01/09/2016,1638.0
31/08/2016,1635.25
30/08/2016,1635.25
26/08/2016,1636.0
25/08/2016,1636.0
24/08/2016,1636.0
23/08/2016,1636.5
22/08/2016,1636.5
19/08/2016,1637.0
18/08/2016,1617.0
17/08/2016,1617.0
16/08/2016,1617.0
15/08/2016,1617.0
12/08/2016,1617.25
11/08/2016,1612.25
10/08/2016,1613.0
09/08/2016,1613.0
08/08/2016,1613.0
05/08/2016,1614.0
04/08/2016,1614.0
03/08/2016,1614.0
01/08/2016,1604.5
29/07/2016,1612.5
28/07/2016,1612.5
27/07/2016,1597.75
26/07/2016,1598.0
25/07/2016,1612.75
22/07/2016,1573.5
21/07/2016,1573.5
20/07/2016,1573.75
19/07/2016,1574.0
18/07/2016,1574.0
15/07/2016,1614.5
14/07/2016,1614.5
13/07/2016,1619.5
12/07/2016,1599.75
11/07/2016,1600.0
08/07/2016,1600.75
07/07/2016,1600.75
06/07/2016,1601.0
05/07/2016,1601.0
04/07/2016,1601.0
01/07/2016,1602.0
30/06/2016,1599.0
29/06/2016,1599.5
27/06/2016,1600.5
24/06/2016,1601.0
23/06/2016,1601.0
22/06/2016,1611.0
21/06/2016,1611.0
20/06/2016,1601.0
17/06/2016,1607.25
16/06/2016,1607.25
15/06/2016,1607.5
14/06/2016,1588.0
13/06/2016,1583.5
10/06/2016,1605.0
09/06/2016,1605.0
08/06/2016,1605.0
07/06/2016,1603.0
06/06/2016,1613.0
03/06/2016,1613.5
02/06/2016,1613.5
01/06/2016,1613.75
31/05/2016,1611.0
27/05/2016,1611.75
26/05/2016,1611.75
25/05/2016,1612.0
24/05/2016,1607.25
20/05/2016,1603.0
19/05/2016,1603.0
18/05/2016,1603.0
17/05/2016,1603.0
16/05/2016,1603.0
13/05/2016,1614.0
12/05/2016,1614.0
11/05/2016,1609.0
10/05/2016,1599.75
09/05/2016,1525.0
06/05/2016,1626.0
05/05/2016,1626.0
04/05/2016,1626.0
03/05/2016,1626.0
29/04/2016,1633.5
28/04/2016,1633.5
27/04/2016,1633.5
26/04/2016,1633.5
25/04/2016,1634.0
22/04/2016,1634.5
21/04/2016,1634.5
20/04/2016,1639.5
19/04/2016,1614.75
18/04/2016,1605.0
14/04/2016,1625.5
13/04/2016,1625.5
12/04/2016,1625.5
11/04/2016,1625.5
08/04/2016,1625.5
07/04/2016,1626.0
06/04/2016,1626.0
05/04/2016,1641.5
04/04/2016,1656.5
01/04/2016,1657.5
31/03/2016,1644.0
30/03/2016,1644.0
29/03/2016,1644.0
24/03/2016,1660.0
23/03/2016,1655.0
22/03/2016,1655.0
21/03/2016,1640.0
18/03/2016,1636.0
17/03/2016,1635.5
16/03/2016,1635.5
15/03/2016,1635.5
14/03/2016,1645.5
11/03/2016,1646.5
10/03/2016,1636.5
08/03/2016,1646.5
06/03/2018,1865.25
05/03/2018,1885.5
01/03/2018,1871.0
28/02/2018,1871.5
27/02/2018,1846.5
26/02/2018,1862.0
22/02/2018,1862.0
21/02/2018,1862.0
20/02/2018,1847.0
19/02/2018,1847.5
15/02/2018,1823.0
14/02/2018,1823.25
13/02/2018,1818.25
12/02/2018,1808.5
08/02/2018,1844.0
07/02/2018,1845.0
06/02/2018,1859.0
05/02/2018,1869.25
01/02/2018,1889.75
31/01/2018,1885.0
30/01/2018,1885.0
29/01/2018,1860.0
25/01/2018,1840.5
24/01/2018,1840.5
22/01/2018,1850.5
18/01/2018,1856.0
17/01/2018,1841.5
16/01/2018,1836.5
15/01/2018,1831.5
11/01/2018,1812.25
10/01/2018,1822.5
09/01/2018,1827.5
08/01/2018,1827.5
04/01/2018,1828.0
03/01/2018,1828.25
02/01/2018,1828.25
28/12/2017,1884.0
27/12/2017,1864.0
21/12/2017,1855.0
20/12/2017,1845.0
19/12/2017,1820.0
18/12/2017,1810.0
14/12/2017,1810.5
13/12/2017,1810.75
12/12/2017,1811.0
11/12/2017,1811.0
07/12/2017,1817.0
06/12/2017,1817.0
04/12/2017,1823.0
30/11/2017,1899.0
29/11/2017,1885.0
28/11/2017,1885.0
27/11/2017,1885.0
23/11/2017,1855.0
22/11/2017,1855.0
21/11/2017,1860.0
20/11/2017,1860.25
16/11/2017,1866.25
15/11/2017,1866.5
14/11/2017,1866.75
13/11/2017,1867.0
09/11/2017,1873.0
08/11/2017,1873.0
07/11/2017,1873.0
06/11/2017,1873.0
02/11/2017,1868.5
01/11/2017,1873.5
31/10/2017,1874.0
30/10/2017,1939.0
26/10/2017,1844.5
25/10/2017,1844.5
24/10/2017,1844.5
19/10/2017,1845.0
18/10/2017,1845.0
17/10/2017,1845.0
16/10/2017,1850.0
12/10/2017,1856.0
11/10/2017,1856.0
10/10/2017,1846.0
09/10/2017,1851.0
05/10/2017,1851.75
04/10/2017,1832.0
03/10/2017,1797.0
02/10/2017,1797.25
28/09/2017,1798.5
27/09/2017,1799.0
26/09/2017,1799.0
25/09/2017,1799.0
21/09/2017,1795.0
20/09/2017,1780.0
19/09/2017,1780.0
18/09/2017,1780.25
14/09/2017,1781.0
13/09/2017,1756.0
12/09/2017,1765.75
11/09/2017,1760.75
06/09/2017,1821.25
05/09/2017,1796.25
04/09/2017,1836.25
31/08/2017,1826.75
30/08/2017,1806.75
29/08/2017,1806.75
24/08/2017,1807.25
23/08/2017,1792.25
22/08/2017,1792.5
21/08/2017,1792.5
17/08/2017,1793.0
16/08/2017,1793.0
15/08/2017,1728.0
14/08/2017,1728.25
11/08/2017,1729.0
10/08/2017,1729.0
09/08/2017,1729.0
08/08/2017,1729.0
07/08/2017,1699.0
04/08/2017,1699.5
03/08/2017,1674.5
02/08/2017,1644.5
01/08/2017,1644.5
31/07/2017,1644.58
27/07/2017,1645.0
26/07/2017,1645.0
25/07/2017,1635.5
24/07/2017,1635.5
21/07/2017,1636.0
20/07/2017,1636.0
19/07/2017,1641.0
18/07/2017,1641.0
