,fuel all EUR/L
20/010/2015,1.142
21/010/2015,1.142
22/010/2015,1.142
23/010/2015,1.142
24/010/2015,1.142
25/010/2015,1.142
26/010/2015,1.142
27/010/2015,1.142
28/010/2015,1.142
29/010/2015,1.142
30/010/2015,1.142
01/11/2015,1.152
02/11/2015,1.152
03/11/2015,1.152
04/11/2015,1.152
05/11/2015,1.152
06/11/2015,1.152
07/11/2015,1.152
08/11/2015,1.152
09/11/2015,1.152
10/11/2015,1.152
11/11/2015,1.152
12/11/2015,1.152
13/11/2015,1.152
14/11/2015,1.152
15/11/2015,1.152
16/11/2015,1.152
17/11/2015,1.152
18/11/2015,1.152
19/11/2015,1.152
20/11/2015,1.152
21/11/2015,1.152
22/11/2015,1.152
23/11/2015,1.152
24/11/2015,1.152
25/11/2015,1.152
26/11/2015,1.152
27/11/2015,1.152
28/11/2015,1.152
29/11/2015,1.152
30/11/2015,1.152
01/12/2015,1.069
02/12/2015,1.069
03/12/2015,1.069
04/12/2015,1.069
05/12/2015,1.069
06/12/2015,1.069
07/12/2015,1.069
08/12/2015,1.069
09/12/2015,1.069
10/12/2015,1.069
11/12/2015,1.069
12/12/2015,1.069
13/12/2015,1.069
14/12/2015,1.069
15/12/2015,1.069
16/12/2015,1.069
17/12/2015,1.069
18/12/2015,1.069
19/12/2015,1.069
20/12/2015,1.069
21/12/2015,1.069
22/12/2015,1.069
23/12/2015,1.069
24/12/2015,1.069
25/12/2015,1.069
26/12/2015,1.069
27/12/2015,1.069
28/12/2015,1.069
29/12/2015,1.069
30/12/2015,1.069
01/01/2016,1.002
02/01/2016,1.002
03/01/2016,1.002
04/01/2016,1.002
05/01/2016,1.002
06/01/2016,1.002
07/01/2016,1.002
08/01/2016,1.002
09/01/2016,1.002
10/01/2016,1.002
11/01/2016,1.002
12/01/2016,1.002
13/01/2016,1.002
14/01/2016,1.002
15/01/2016,1.002
16/01/2016,1.002
17/01/2016,1.002
18/01/2016,1.002
19/01/2016,1.002
20/01/2016,1.002
21/01/2016,1.002
22/01/2016,1.002
23/01/2016,1.002
24/01/2016,1.002
25/01/2016,1.002
26/01/2016,1.002
27/01/2016,1.002
28/01/2016,1.002
29/01/2016,1.002
30/01/2016,1.002
01/02/2016,0.995
02/02/2016,0.995
03/02/2016,0.995
04/02/2016,0.995
05/02/2016,0.995
06/02/2016,0.995
07/02/2016,0.995
08/02/2016,0.995
09/02/2016,0.995
10/02/2016,0.995
11/02/2016,0.995
12/02/2016,0.995
13/02/2016,0.995
14/02/2016,0.995
15/02/2016,0.995
16/02/2016,0.995
17/02/2016,0.995
18/02/2016,0.995
19/02/2016,0.995
20/02/2016,0.995
21/02/2016,0.995
22/02/2016,0.995
23/02/2016,0.995
24/02/2016,0.995
25/02/2016,0.995
26/02/2016,0.995
27/02/2016,0.995
28/02/2016,0.995
29/02/2016,0.995
30/02/2016,0.995
01/03/2016,1.039
02/03/2016,1.039
03/03/2016,1.039
04/03/2016,1.039
05/03/2016,1.039
06/03/2016,1.039
07/03/2016,1.039
08/03/2016,1.039
09/03/2016,1.039
10/03/2016,1.039
11/03/2016,1.039
12/03/2016,1.039
13/03/2016,1.039
14/03/2016,1.039
15/03/2016,1.039
16/03/2016,1.039
17/03/2016,1.039
18/03/2016,1.039
19/03/2016,1.039
20/03/2016,1.039
21/03/2016,1.039
