,copper
10/01/2017,5772.5
09/01/2017,5607.5
06/01/2017,5605.5
05/01/2017,5594.0
04/01/2017,5650.0
03/01/2017,5503.75
30/12/2016,5538.5
29/12/2016,5493.25
28/12/2016,5547.5
23/12/2016,5473.75
21/12/2016,5516.0
20/12/2016,5504.25
19/12/2016,5500.0
16/12/2016,5630.5
15/12/2016,5722.25
14/12/2016,5716.25
13/12/2016,5691.75
12/12/2016,5772.25
09/12/2016,5817.75
08/12/2016,5775.5
07/12/2016,5781.25
06/12/2016,5870.25
05/12/2016,5932.75
02/12/2016,5743.5
01/12/2016,5778.0
30/11/2016,5818.5
29/11/2016,5706.25
28/11/2016,5874.0
25/11/2016,5879.0
24/11/2016,5864.0
23/11/2016,5748.0
22/11/2016,5631.5
21/11/2016,5580.0
18/11/2016,5441.5
16/11/2016,5447.5
15/11/2016,5535.0
14/11/2016,5566.0
11/11/2016,5554.25
10/11/2016,5618.25
09/11/2016,5436.5
08/11/2016,5267.0
07/11/2016,5132.0
04/11/2016,5022.25
03/11/2016,4992.5
02/11/2016,4960.75
01/11/2016,4961.5
31/10/2016,4891.75
28/10/2016,4881.0
27/10/2016,4827.25
26/10/2016,4769.75
25/10/2016,4768.75
24/10/2016,4676.75
21/10/2016,4680.75
20/10/2016,4695.5
19/10/2016,4714.25
18/10/2016,4726.5
17/10/2016,4720.0
14/10/2016,4720.75
12/10/2016,4861.75
11/10/2016,4860.25
10/10/2016,4895.5
07/10/2016,4824.5
06/10/2016,4798.75
05/10/2016,4842.75
04/10/2016,4846.75
03/10/2016,4859.25
30/09/2016,4905.0
29/09/2016,4884.0
28/09/2016,4858.5
27/09/2016,4828.5
26/09/2016,4885.0
23/09/2016,4898.0
22/09/2016,4891.75
21/09/2016,4806.0
20/09/2016,4834.5
19/09/2016,4812.0
16/09/2016,4819.25
15/09/2016,4815.5
14/09/2016,4803.75
13/09/2016,4680.0
12/09/2016,4684.5
09/09/2016,4671.0
07/09/2016,4688.5
06/09/2016,4659.0
05/09/2016,4663.25
02/09/2016,4663.75
01/09/2016,4670.75
31/08/2016,4655.25
30/08/2016,4649.25
26/08/2016,4659.0
25/08/2016,4669.0
24/08/2016,4676.75
23/08/2016,4756.75
22/08/2016,4796.5
19/08/2016,4845.0
18/08/2016,4854.25
17/08/2016,4817.5
16/08/2016,4851.25
15/08/2016,4806.75
12/08/2016,4802.0
11/08/2016,4884.25
10/08/2016,4855.0
09/08/2016,4816.5
08/08/2016,4845.5
05/08/2016,4828.75
04/08/2016,4872.0
02/08/2016,4928.5
01/08/2016,4919.0
29/07/2016,4956.5
28/07/2016,4931.25
27/07/2016,4885.0
26/07/2016,4963.75
25/07/2016,4931.5
22/07/2016,4951.0
21/07/2016,5008.25
20/07/2016,5003.0
19/07/2016,5017.25
18/07/2016,4969.75
15/07/2016,4949.25
14/07/2016,4972.25
13/07/2016,4967.75
12/07/2016,4903.75
11/07/2016,4787.0
08/07/2016,4747.75
07/07/2016,4725.25
06/07/2016,4787.0
05/07/2016,4850.75
04/07/2016,4919.5
01/07/2016,4935.75
30/06/2016,4866.0
28/06/2016,4841.0
27/06/2016,4736.0
24/06/2016,4718.5
23/06/2016,4796.5
22/06/2016,4724.75
21/06/2016,4696.0
20/06/2016,4664.5
17/06/2016,4572.0
16/06/2016,4557.75
15/06/2016,4670.5
14/06/2016,4549.25
13/06/2016,4595.75
10/06/2016,4549.5
09/06/2016,4555.25
08/06/2016,4605.25
07/06/2016,4591.25
06/06/2016,4702.5
03/06/2016,4689.0
02/06/2016,4609.75
01/06/2016,4619.0
31/05/2016,4670.5
27/05/2016,4695.0
26/05/2016,4662.5
25/05/2016,4654.25
23/05/2016,4565.25
20/05/2016,4577.75
19/05/2016,4580.25
18/05/2016,4613.25
17/05/2016,4660.0
16/05/2016,4646.25
13/05/2016,4624.75
12/05/2016,4608.0
11/05/2016,4702.5
10/05/2016,4674.75
09/05/2016,4680.5
06/05/2016,4801.0
05/05/2016,4774.75
04/05/2016,4862.5
03/05/2016,4916.0
29/04/2016,5039.0
28/04/2016,4935.5
27/04/2016,4899.5
26/04/2016,4955.5
25/04/2016,4994.25
22/04/2016,5017.5
21/04/2016,4985.75
20/04/2016,4969.5
19/04/2016,4923.5
15/04/2016,4793.25
14/04/2016,4822.75
13/04/2016,4819.75
12/04/2016,4752.75
11/04/2016,4651.25
08/04/2016,4637.5
07/04/2016,4639.0
06/04/2016,4770.0
05/04/2016,4763.75
04/04/2016,4751.0
01/04/2016,4818.0
31/03/2016,4826.0
30/03/2016,4851.5
29/03/2016,4869.5
24/03/2016,4912.5
23/03/2016,4924.0
22/03/2016,5037.0
21/03/2016,5036.5
18/03/2016,5011.5
17/03/2016,5039.0
16/03/2016,4909.0
15/03/2016,4921.0
14/03/2016,4912.5
11/03/2016,4932.0
09/03/2016,4909.0
08/03/2016,4846.0
06/03/2018,7098.25
05/03/2018,6998.0
01/03/2018,7020.0
28/02/2018,7034.75
27/02/2018,7126.0
26/02/2018,7220.75
22/02/2018,7267.75
21/02/2018,7225.0
20/02/2018,7194.25
19/02/2018,7215.0
15/02/2018,7271.5
14/02/2018,7250.0
13/02/2018,7071.0
12/02/2018,6919.0
08/02/2018,6936.0
07/02/2018,6974.5
06/02/2018,7174.0
05/02/2018,7269.5
01/02/2018,7218.0
31/01/2018,7208.5
30/01/2018,7144.0
29/01/2018,7181.5
25/01/2018,7234.0
24/01/2018,7255.5
22/01/2018,7177.5
18/01/2018,7177.0
17/01/2018,7132.5
16/01/2018,7174.0
15/01/2018,7301.0
11/01/2018,7234.75
10/01/2018,7243.75
09/01/2018,7194.5
08/01/2018,7216.5
04/01/2018,7273.0
03/01/2018,7231.5
02/01/2018,7280.5
28/12/2017,7356.0
27/12/2017,7307.0
21/12/2017,7155.25
20/12/2017,7114.25
19/12/2017,7008.25
18/12/2017,6969.75
14/12/2017,6862.5
13/12/2017,6798.75
12/12/2017,6730.0
11/12/2017,6734.5
07/12/2017,6632.0
06/12/2017,6611.0
04/12/2017,6887.5
30/11/2017,6824.5
29/11/2017,6822.5
28/11/2017,6870.75
27/11/2017,7005.5
23/11/2017,7028.25
22/11/2017,7019.75
21/11/2017,6973.5
20/11/2017,6889.25
16/11/2017,6797.75
15/11/2017,6836.5
14/11/2017,6824.0
13/11/2017,6957.5
09/11/2017,6871.0
08/11/2017,6921.5
07/11/2017,6895.75
06/11/2017,7036.5
02/11/2017,6994.0
01/11/2017,6989.5
31/10/2017,6897.0
30/10/2017,6928.25
26/10/2017,7043.5
25/10/2017,7068.0
24/10/2017,7097.25
19/10/2017,7032.75
18/10/2017,7060.5
17/10/2017,7102.0
16/10/2017,7196.0
12/10/2017,6962.0
11/10/2017,6878.5
10/10/2017,6851.0
09/10/2017,6751.5
05/10/2017,6781.0
04/10/2017,6612.5
03/10/2017,6614.25
02/10/2017,6583.75
28/09/2017,6615.0
27/09/2017,6523.5
26/09/2017,6516.5
25/09/2017,6543.75
21/09/2017,6569.0
20/09/2017,6612.0
19/09/2017,6630.75
18/09/2017,6620.25
14/09/2017,6580.75
13/09/2017,6634.5
12/09/2017,6748.75
11/09/2017,6818.25
06/09/2017,6971.0
05/09/2017,6969.5
04/09/2017,6985.25
31/08/2017,6858.5
30/08/2017,6837.5
29/08/2017,6849.25
24/08/2017,6755.5
23/08/2017,6632.75
22/08/2017,6652.0
21/08/2017,6655.5
17/08/2017,6557.25
16/08/2017,6598.0
15/08/2017,6449.25
14/08/2017,6465.75
11/08/2017,6474.5
10/08/2017,6492.75
09/08/2017,6522.0
08/08/2017,6546.75
07/08/2017,6483.75
04/08/2017,6444.5
03/08/2017,6421.5
02/08/2017,6420.5
01/08/2017,6422.25
31/07/2017,6444.0
27/07/2017,6403.0
26/07/2017,6397.0
25/07/2017,6286.0
24/07/2017,6098.75
21/07/2017,6078.75
20/07/2017,6034.5
19/07/2017,6040.0
18/07/2017,6075.25
17/07/2017,6056.75
14/07/2017,5987.0
13/07/2017,5939.25
12/07/2017,5972.0
11/07/2017,5946.0
10/07/2017,5894.0
07/07/2017,5897.5
06/07/2017,5920.25
05/07/2017,5911.75
04/07/2017,5956.5
03/07/2017,5987.0
30/06/2017,5990.25
29/06/2017,5993.0
28/06/2017,5933.75
27/06/2017,5909.75
26/06/2017,5846.25
22/06/2017,5793.5
21/06/2017,5799.75
20/06/2017,5713.5
19/06/2017,5778.25
16/06/2017,5721.75
15/06/2017,5720.75
14/06/2017,5759.5
13/06/2017,5777.75
12/06/2017,5829.25
09/06/2017,5855.75
08/06/2017,5780.25
07/06/2017,5677.25
06/06/2017,5671.0
05/06/2017,5682.5
02/06/2017,5717.75
01/06/2017,5750.5
31/05/2017,5738.25
30/05/2017,5714.25
26/05/2017,5715.0
